rank,tier,market,ad_name,spend_inr,tds,cptd_inr,hook_frame,master_frame,close_type,specificity,production_cue,language,target_window,fatigue_risk,brand_aligned,fork_note
1,A_brand_aligned,ROW,ANZ-SG_FB_Leads_Conv_PayU_Singapore_Video_Tamil-Parent-Shoot-in-English_110226,90792,18,5043,Enrichment,1-1-Personalization,Unclear,Named-child,UGC-polished,English,Evergreen ANZ-SG,Low,YES,"Tamil-origin parent in Singapore, named-child testimonial. Brand-aligned NRI killer at ₹5K. FORK: replicate format with 3 more SG/AU NRI parents."
2,A_brand_aligned,US,USA_FB_Leads_Conv_PayU_LAL_Audience_34_55_NRI_Signup_LEAP_BAU_LP_English_Generic_NA_Video_Testimonial_Gunjan-20s_250226,155146,27,5733,Enrichment,1-1-Personalization,Free-Class,Named-parent,UGC-polished,English,Jun 1-30 NRI rigour,Low,YES,"Gunjan testimonial — 'Sonia was doing fine in math. But Cuemath pushed her to go beyond fine.' BRAND-ALIGNED MASTER. Fork 6 fresh variants of this hook for Jun. Cuemath = agent. Coach via tenure-only ('same Cuemath coach for 2 yrs') — never named as outcome source (marketplace trap)."
3,A_brand_aligned,ROW,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Video_Testimonial-Robin-Wife_290126,97644,16,6102,Enrichment,1-1-Personalization,Unclear,Named-parent,UGC-polished,English,Evergreen ANZ,Medium,YES,"Robin's Wife testimonial — natural ANZ-NRI parent voice. Add a clean Free-Class close. Refork with named-tutor mention."
4,A_brand_aligned,ROW,ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Testimonial-Mohit-Kukreja_140226,328659,52,6320,Enrichment,1-1-Personalization,Recommendation,Named-child,UGC-polished,English,Evergreen ANZ,Medium,YES,"Mohit Kukreja parent testimonial. Bollywood targeting. ROW killer. Re-shoot with new ANZ-NRI parent if fatigue shows; add tutor reference."
5,A_brand_aligned,US,USA_FB_Leads_Conv_LAL_Enrolled_35-55_LeadGen_NA_Video_Testimonial-Shruti-25s_020126,106311,16,6587,Enrichment,1-1-Personalization,Free-Class,Named-parent,UGC-polished,English,Jun 1-30 NRI rigour,Low,YES,"Shruti testimonial — same 'Sonia/fine' hook as Gunjan. Sister fork with different parent face. Pair with #2 in Jun rotation."
6,A_brand_aligned,ROW,ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial-Vandana_230326,150630,22,6944,Outcome-First,Outcome-First,Free-Class,Named-parent,Studio,English,Jun-Jul UK summer,Low,YES,"Vandana UK-NRI testimonial. Studio production — proves brand-aligned works in higher-production format too. Fork for UK summer."
7,A_brand_aligned,ROW,ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial-Gunjan-Video-V2_310126,206642,27,7652,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,UGC-polished,English,Evergreen ANZ-SG,Medium,YES,"Gunjan V2 — Singapore variant of #2. Cross-market template proven. Refork with new Singapore-NRI parent."
8,A_brand_aligned,ROW,Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Video_Updated-Testimonial-Jasleen-15s_170925,174397,22,7927,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,UGC-polished,English,Evergreen MEA,Low,YES,"Jasleen MEA testimonial. 15s cut — proves short brand-aligned format. Replicate with another MEA-NRI parent."
9,A_brand_aligned,ROW,ANZ_FB_Leads_Conv_LAL_0to2%AllQLs_Australia_Static_W-Testimonial-NAPLAN_200126,154593,16,9660,Competition,Competition-Prep,Free-Class,Named-child,Static-Graphic,English,Evergreen ANZ NAPLAN,Low,YES,"BRAND-ALIGNED STATIC-GRAPHIC EXISTS. 'From Struggling with Maths to Excelling in NAPLAN' + named-child + static. Outcome attributed to result, not to a tutor. Proves Action 2 fork is viable. Fork 5 brand-aligned competition statics with this template — outcomes credited to Cuemath / Cuemath Way, coach via tenure-only, never named as outcome source."
10,B_competition,US,Math_Kangaroo_Static_Build_Skills_V2_040126,220904,28,7849,Competition,Competition-Prep,Free-Class,Anonymous,Static-Graphic,English,Jul AMC 8,Medium,NO,"Anonymous — high CPTD efficiency but FAILS BRAND. Use as performance-baseline only. The Action 2 brief takes THIS recipe and adds coach visibility."
11,B_competition,US,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-30-Day-Math-Kangaroo-Prep-150326,941232,180,5229,Competition,Competition-Prep,Free-Class,Anonymous,Static-Graphic,English,Jul AMC 8,Medium,NO,"Anonymous — performance baseline only. Same fork rule as #10. Run existing inventory until natural fatigue; replace with brand-aligned variant from Action 2."
12,B_HS_SAT,ROW,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Video-High-School-SAT-Prep-Manan-Sir-Video-130126,300047,38,7849,Anxiety,MathFit,Offer-led,Anonymous,UGC-polished,English,Jun-Jul HS SAT,Low,PARTIAL,"Manan Sir as named expert (subject-authority badge per CD §4 USP #5). Closer to brand-aligned than pure Anonymous. Fork for Senior + Junior summer SAT plan with tutor tenure overlay added."
13,C_archive,US,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-India-Best-Math-Tutors-300126,419710,80,5222,Academic-Outcome,1-1-Personalization,Free-Class,Anonymous,Static-Graphic,English,DO NOT FORK,HIGH,NO,"DEMOTED v1→v2. Anonymous + bleached-superlative claim. Fails CD §4. Existing inventory keeps running until fatigue (already showing — Feb 18 re-cut at ₹34K). Do not greenlight new variants. Replace with Action 2 brand-aligned competition statics."
14,C_archive,US,USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_NRI_Contextual_Statics_34_55_NRI_Signup_NA_Static-India-Best-Math-Tutors-050326,347533,64,5419,Academic-Outcome,1-1-Personalization,Free-Class,Anonymous,Static-Graphic,English,DO NOT FORK,Medium,NO,"DEMOTED. Same template as #13. Same archive instructions."
15,C_archive,US,USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_NA_Static-India-Best-Math-Tutors_170326,346348,48,7216,Top-Tutors,Top-Tutors,Free-Class,Anonymous,Studio,English,DO NOT FORK,Low,NO,"DEMOTED. Anonymous Studio variant of the killer template. Same archive instructions — runs out, doesn't get refreshed."
