asset_id,creator_handle,creator_name,name_aliases,handle_aliases,talent_pipeline,flight_date,flight_month,market,language,child_grade,story_angle,script_text,post_url,utm_organic,utm_boost,dimension_named,usp_led,coach_visibility,close_card,mathfit_named_count,qls,tb,td,cptd,winner_status,notes
260421-USNRI-INF-01,kalyani_boppa,Kalyani Boppa,,,Influencer-organic,2026-04-21,2026-04,US-NRI,English,KG,"Parent-observation: child observing, asking why, picking up patterns. MathFit as early math identity.","I've noticed something with her at this age… she's constantly observing, asking ""why,"" and picking up patterns. Even at home - counting steps, matching shapes, noticing little differences… she's learning without even realizing it. And I feel this is the stage where it's not about teaching math… it's about building how they think. That's why I really like what Cuemath is doing. It's not just about solving problems - they focus on helping them understand, think, and explore math. With a dedicated tutor, 1:1 learning, and interactive sessions… it feels very personalized. Because honestly, being good at math today isn't about speed… It's about confidence and thinking. That's what being MathFit really means. If you want to explore this for your child, you can try a free class - link in my bio. Cuemath makes kids MathFit.",NEEDS-PASTE,April_Kalyani,USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Kalyani_240426,Confidence,#1-Same-coach,Memory,pre-lock,2,37,30,3,NEEDS-CALC,provisional,"Discovery framing of MathFit. Parent-philosophy-before-brand sequence. Bridge line ""That's why I really like what Cuemath is doing"" carries the conversion. Pre-locked-close (May 10 lock postdates this ship)."
260326-USNRI-INF-02,maddynath2922,Keerthi,"Deepthi; Arigela; Arigela Keerthi",moni_rinky,Influencer-testimonial-format,2026-03-26,2026-03,US-NRI,Telugu (script delivered in English per paste — verify),8,"Kid-as-speaker testimonial: accelerated math track outcome. 6-12 Expertise / Application dimension.","My daughter is now in the accelerated math track. All thanks to Cuemath. I realized school alone wasn't going to give me that edge. So I started Cuemath for high school prep. My tutor doesn't just give me formulas to memorize. She uses these visual simulations that make advanced algebra and geometry actually make sense. Now, I'm solving problems way ahead of my grade level. When we started the 'advanced' in school, I already knew the logic behind it. It feels like I'm ahead of the curve. If you're a parent of a middle schooler, do them a favor and book the free trial class in our bio. Trust me, you'll thank us.",NEEDS-PASTE,Influencer_Video_Deepthi_260326,,Application,#3-1:1 (implicit),Absent (bare ""my tutor""),pre-lock,0,1,1,0,NEEDS-CALC,early-signal,"Kid Maddy speaks; mom Keerthi visual-button at end. Outcome-first hook (accelerated math track). STRONG STRUCTURAL FORMAT but: bare ""my tutor"" (no Cuemath-coach attribution — pre-May-6 ship), no MathFit named, no locked close, no Beat 3 canonical. Same creator as INF-12 (moni_rinky / Arigela) — different handle, both Keerthi."
2605MAY-USNRI-INF-12,moni_rinky,Keerthi,"Arigela; Arigela Keerthi; Deepthi",maddynath2922,Influencer-organic,2026-05-DRAFT,2026-05,US-NRI,Telugu (English-coded draft — confirm shoot language),NEEDS-GRADE (son referenced — verify if same family / sibling of Maddy 8th-grade),"Pain-hook: NRI parent's group-class frustration → Cuemath as 1:1 + ask-not-tell + safe-space alternative. USP #3 (1:1 vs group). Talent niche: Fashion/Beauty/Lifestyle.","[DRAFT v1 from briefing sheet] As an NRI parent in the US, I have tried many group math classes, but honestly, with 30 kids in one batch, my child wasn't getting the attention he needed. That's when I found Cuemath — and it's been a life changer for us. He never feels judged or rushed. He can stop her anytime and say, ""I don't get this,"" without feeling awkward. That safe space alone has made such a big difference. What I love most is that she doesn't just give him the answer. She actually gets him to think hard, ask questions, and explain his reasoning. She keeps asking ""why"" until the concept really clicks. And seeing him enjoy math in his own comfort space… feels like we made the right decision. Don't just take my word for it. Cuemath is giving a free 1:1 trial class. Comment ""link"" to sign up and experience it yourself.",NEEDS-POST-URL,,,(audit on hold — see revised below),#3-1:1,Absent (bare ""my tutor""),missing,0,,,,,DRAFT — pre-revision,"REPEAT CREATOR (same Keerthi as INF-02 maddynath2922, plus 5 prior boost UTMs labeled ""Keerthi"" in CRM Jan 23, Feb 3, Feb 18, Mar 26, Apr 20). Combined prior performance across all Keerthi-named UTMs: 52 leads / 23 TDs. Continuity: her audience knows daughter Maddy is in the accelerated math track (INF-02). New script should feel like origin-story complement — how the journey started, not a fresh brand intro. Revised version below in chat."
2605MAY-USNRI-INF-18,desiimmigrantmom,Meenakshi,,,Influencer-organic,2026-05-DRAFT,2026-05,US-NRI,English,2,"AHEAD pillar (CD §8.2 acceleration). NRI curriculum-gap signal (""beyond what schools in the US cover""). Kitchen + ludo math hook — kid does mental math casually during a game. Two USPs split across scenes: same-dedicated-tutor + 1-on-1 interactive smartboard.","[NAINA-AUTHORED 10-scene table] Hook (Mom in kitchen, son playing ludo): ""Most evenings I'm in the kitchen cooking and I'll just randomly throw a math question at him — he'll shout the answer from the other room without even looking up from his Ludo game. It's our thing. We both love it."" Shift: ""And honestly he's pretty good — but I'm a mom. I want more for him. I didn't want him to just be good. I wanted him to be *ahead*."" Why: ""The kind of kid who doesn't freeze when the problem looks different. Who actually understands what's happening *behind* the numbers. So I started looking for something that goes beyond what schools in the US cover."" Discovery: ""That's when I found Cuemath. What got me was — they don't just teach math. They teach kids to think *mathematically*."" USP Tutor: ""He gets the same tutor every single time. She knows his pace. She knows where his brain slows down. She pushes him just enough without overwhelming him."" USP 1-on-1: ""It's completely 1-on-1. They solve things together step by step on a shared smartboard. He's not just watching. He's thinking out loud, trying his own way first."" Click: ""I can already see the difference — he's not just answering anymore. He's *explaining his reasoning* out loud. The other day during his ludo game he was calculating moves and talking through his logic like it was nothing. That's not memorization. That's actual thinking."" MathFit: ""Cuemath calls it becoming *MathFit™* — and honestly, that word makes complete sense to me now."" CTA: ""If you're like me and you don't just want your child to keep up — you want them to get *ahead* — the free trial is worth it. Link in my bio."" Closing: ""Cuemath has made my kid *MathFit™*.""",NEEDS-POST-URL,,,(no boost UTM yet — DRAFT),#3-1:1 + #4-Indian-pedagogy (implicit ""beyond US schools""),Memory (""knows his pace / knows where his brain slows down""),pre-lock (no Apr-10 card),2,,,,,DRAFT — Naina-approved structure,"Naina-authored May 11 — NEW creator addition not from May Doc original. AHEAD pillar (premium NRI aspiration). Ludo-game hook earns the 'kid actually thinks' proof. To log boost UTM + performance after ship + 14-day cohort."
260317-USNRI-INF-13,the_pbandj_family,Jugnu,,,Influencer-organic AI-VO,2026-03-17,2026-03,US-NRI,English,5 (son in shipped script; brief said daughter — verify),"Before/after confidence arc: ""'I don't get math' → 'I got this'"". AI VO + Lifestyle visual aesthetic. Method = 1:1 + interactive smartboard + the WHY.","[0-3s HOOK] AI VO: ""How my son went from 'Mom, I don't get Math' to 'Mom, I got this.' Here's what changed."" [4-8s PROBLEM] AI VO: ""5th grade math hit hard this year. Homework was getting tense. He wasn't struggling exactly — but he was losing confidence fast."" [9-20s EXPERIENCE] AI VO: ""A friend recommended Cuemath so we decided to check it out. I love that it's completely 1-on-1. His tutor uses an interactive smartboard and they go deep into the why behind every concept — not just solving problems, but actually understanding them."" [21-25s OUTCOME] AI VO: ""That shift in how he thinks about math? That's what we were waiting for. He's not struggling anymore. He's figuring it out confidently."" [26-30s CTA] AI VO: ""Cuemath is making my child MathFit. Book your free 1-on-1 trial — link in bio.""",NEEDS-PASTE,USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Jugnu_170326,,Confidence,#3-1:1,Absent (bare ""his tutor""),pre-lock,1,,,,NEEDS-CRM-JOIN,confirmed (creator-level),Jugnu Mar 17 Postboost. Same script content as 260319 variant.
260319-USNRI-INF-14,the_pbandj_family,Jugnu,,,Influencer-organic AI-VO,2026-03-19,2026-03,US-NRI,English,5 (son),"Same script as INF-13 — Edited_Videos cut variant.",[see INF-13 script_text],NEEDS-PASTE,USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Jugnu_190326,,Confidence,#3-1:1,Absent,pre-lock,1,,,,NEEDS-CRM-JOIN,confirmed,Jugnu Mar 19 Edited_Videos cut. Likely re-edit of same source asset as INF-13.
260320-NRIAUS-INF-15,the_pbandj_family,Jugnu,,,Influencer-organic AI-VO,2026-03-20,2026-03,NRI-AUS,English,5 (son),"Same content adapted for ANZ market.",[see INF-13 script_text — ANZ-curriculum adaptation TBD],NEEDS-PASTE,ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jugnu_200326,,Confidence,#3-1:1,Absent,pre-lock,1,,,,NEEDS-CRM-JOIN,confirmed,Jugnu ANZ Mar 20. Need to confirm if ANZ version used ""maths"" / Year-language adaptation per ANZ overlay.
260421-NRIAUS-INF-16,the_pbandj_family,Jugnu,,,Influencer-organic AI-VO,2026-04-21,2026-04,NRI-AUS,English,5 (son),"Same content — April reflight for ANZ.",[see INF-13 script_text],NEEDS-PASTE,ANZ_FB_Leads_Conv_int4C_Australia_Video_Jugnu_210426,,Confidence,#3-1:1,Absent,pre-lock,1,,,,NEEDS-CRM-JOIN,confirmed,"Jugnu ANZ Apr 21 reflight. Combined Jugnu total across all 4 variants: 27 leads, 8 TDs — confirmed converter."
2603BRIEF-USNRI-INF-17,the_pbandj_family,Jugnu,,,Influencer-organic BRIEF (not shipped),2026-03-DRAFT,2026-03,US-NRI,English,5 (daughter per brief),"Talking-pointer brief — TUTOR BOND + PARENT VISIBILITY (Dashboard / PTM) as the USP. Named tutor ""Anjali Ma'am"" (bare-name — now Hard Kill per May 6). Different gender (daughter) than shipped (son).","[TALKING POINTERS — not a script] 1. Tutor Relationship: ""My daughter has had the same tutor—Anjali Ma'am—for [X] months now. That consistency means she's not re-explaining herself every session. They've built trust."" 2. What Is Cuemath: ""1:1 online math tutoring—not group classes, not pre-recorded videos. Live sessions where the tutor adapts to HER pace and understanding."" 3. Parent Dashboard [UNIQUE USP]: ""I can see her progress through their dashboard. Regular parent-teacher meetings. I'm not guessing if she's improving. I can see it."" 4. MathFit Philosophy: ""A MathFit kid is not someone who memorizes and gets good grades, but who can think through new problems and is a confident problem solver for life. Understanding WHY behind every method."" 5. Specific Outcome: ""She used to [specific struggle]. Now she [specific improvement]."" CTA: ""Free trial class—link in bio.""",N/A,N/A,N/A,Confidence,#1-Same-coach + Dashboard,Named (bare — INVALID),missing,1,N/A,N/A,N/A,N/A,brief-only,"BRIEF format — talking pointers, not a script. Daughter referenced (vs son in shipped). Dashboard/PTM was proposed USP — does not appear in shipped script. Flag: brief→ship gender flip + USP swap. Worth asking team why."

