Month,Season,School Phase,Event / Occasion,Category,Sub-Type,Target Audience,Ad Angle / Hook,Platform Fit,Priority
Jan,Winter,Mid-Year / Term 2,New Year's Day,National Holiday,Public Holiday,"Parents, Kids Gr 2–8","Start the year sharp – new goals, new Math skills!","Meta, Google, YouTube",H
Jan,Winter,Mid-Year / Term 2,Makar Sankranti,Festival – Hindu,Pan-India Festival,"Families, Parents",Harvest the joy of learning this Sankranti 🪁,"Meta, Instagram",H
Jan 14,,,Uttarayan (Makar Sankranti),Regional Festival,West,"Joyful, outdoor, competitive spirit",Fly high in Math this Uttarayan – every kite needs a strong string 🪁,"Meta (Gujarat geo), Instagram",H
Jan 14–17 (4 days),,,Pongal,Regional Festival,South,"Gratitude, harvest joy, new beginnings",Harvest a love of Math this Pongal 🌾 – Pongal O Pongal!,"Meta (Tamil Nadu geo), YouTube, Sun TV digital",H
Jan,Winter,Mid-Year / Term 2,Republic Day – Jan 26,National Holiday,Patriotic,All Gr 2–8 families,Building tomorrow's India starts with strong Math 🇮🇳,All platforms,H
Jan,Winter,Mid-Year / Term 2,National Youth Day – Jan 12 (Vivekananda),Social / Awareness,Youth & Education,"Parents, Students Gr 6–8",Awaken your child's inner genius this Vivekananda Jayanti,"LinkedIn, Meta",M
Jan 13,,,Lohri,Regional Festival,North,"Festive, celebratory, family-first","Warm up your child's Math skills this Lohri – bonfire night, bright minds 🔥","Meta (Punjab/Haryana/Delhi geo), Instagram",H
Jan,Winter,Mid-Year Tests,Half-Yearly Results & Remedial Season,School Rhythm,Post-result anxiety,Parents of Gr 2–8,Half-yearly results in? Fix Math gaps before they snowball,"Google Search, Meta",H
Jan,Winter,Mid-Year Tests,SOF Olympiad Level 2 (IMO/NSO),Olympiad,SOF Level 2,Students Gr 2–8 who cleared Level 1,You cleared Level 1 – now go for gold in Level 2! 🥇,"Google, Meta",H
Feb,Winter → Spring,Term 2 Running,Vasant Panchami / Saraswati Puja,Festival – Hindu,Education Festival,"Students, Parents all grades",On the day we worship knowledge – fuel your child's love for Math 🙏,"Meta, Instagram",H
Feb,Winter → Spring,Term 2 Running,Valentine's Day,Commercial,Gifting,Parents,Show love – gift your child confidence in Math ❤️,"Instagram, Meta",M
Feb,Winter → Spring,Term 2 Running,National Science Day – Feb 28,Math / STEM Day,STEM Awareness,"Students Gr 4–8, Parents",Math is the engine behind every scientific discovery 🔬,"YouTube, Instagram",H
Feb,Winter → Spring,Annual Exam Prep Peaks,Annual Exam Fever Begins (Class 1–8),School Rhythm,Exam Season,Parents of Gr 2–8,Annual exams are coming – is Math your child's strongest subject?,"Google Search, Meta",H
Feb,Winter → Spring,Annual Exam Prep,Silverzone / Unified Olympiad Results,Olympiad,School Olympiad,Students Gr 2–8,Great results start with great prep. Next Olympiad season is closer than you think,"Meta, Google",M
Feb–Mar,Spring,Annual Exam Season,Annual Exam Prep – Always On,School Rhythm,Exam Prep,Parents of Gr 2–8,Annual exams are weeks away – ace Math with Cuemath's targeted practice,"Google Search, Meta",H
Mar,Spring,Annual Exam Season / New Term,Pi Day – Mar 14 (π = 3.14159…),Math / STEM Day,Math Celebration,All students Gr 2–8,Happy Pi Day! 🥧 3.14 reasons why Math is the coolest subject on earth,"Instagram, YouTube, Twitter/X",H
Mar,Spring,Annual Exam Season / New Term,Holi,Festival – Hindu,Major Festival,All Gr 2–8 families,Holi Hai! Colourful minds learn Math in colourful ways 🎨,"Instagram, YouTube, Meta",H
Mar,Spring,Annual Exam Season / New Term,Annual Exams – Class 1–8,School Rhythm,Year-End Exams,Parents of Gr 1–8,Annual Math exam is here – last-minute practice that actually works,"Google Search, Meta",H
Mar,Spring,Annual Exam Season / New Term,Financial Year End,Commercial,FY Planning,Parents,Invest in your child's Math future before the financial year closes,"Google, Meta",M
Mar,Spring,Annual Exam Season / New Term,RMO Results (Regional Math Olympiad),Olympiad,Math Olympiad Track,Students Gr 6–8 advanced,RMO results out! The journey to IMO starts with one bold step 🏆,"Meta, Google",M
Mar–Apr (varies),,,Good Friday / Easter,Regional Festival,South + West,"Reflective, family-oriented",Happy Easter! 🐣 A season of new beginnings – start your child's Math journey fresh,Meta (Kerala/Goa/Northeast geo),M
Mar–Apr (Chaitra Shukla Pratipada),,,Ugadi,Regional Festival,South,New year optimism; fresh start; family gathering,"Happy Ugadi! New year, new Math goals – set your child up to soar 🌿","Meta (AP/Telangana/Karnataka geo), Instagram",H
Mar–Apr (Chaitra Shukla Pratipada),,,Gudi Padwa,Regional Festival,West,"New year, fresh start energy, celebratory","New year, new Math goals – Happy Gudi Padwa! 🪅 Start the year ahead","Meta (Maharashtra geo), Instagram",H
Mar–Apr (varies),,,Eid al-Fitr,Regional Festival,Pan-India,"Joy, gratitude, giving, eid gifting spirit",Eid Mubarak! 🌙 Knowledge is the most beautiful gift – celebrate with Cuemath this Eid,"Meta (Muslim-majority areas geo), Instagram",H
Apr,Summer,Summer Vacation Starts,Eid al-Fitr,Festival – Muslim,Major Festival,Muslim families,Eid Mubarak! Celebrate with the gift of knowledge 🌙,"Meta, Instagram",H
Apr 13–15,,,Bihu (Rongali),Regional Festival,East,New year celebration; harvest joy; community pride,"Happy Bihu! New season, new learnings – sharpen your child's Math this spring 🌾","Meta (Assam geo), Instagram",H
Apr 13–14,,,Baisakhi,Regional Festival,North,"New year energy, optimistic, fresh start","New harvest, new learning goals – Happy Baisakhi! 🌾 Start Math strong","Meta (Punjab geo), Instagram",H
Apr,Summer,Summer Vacation Starts,Dr. Ambedkar Jayanti – Apr 14,Social / Awareness,Education Equality,All segments,Education is the great equalizer. Quality Math for every child,"Meta, LinkedIn",M
Apr,Summer,Summer Vacation Starts,Summer Vacation Begins (most states),Season,Summer Learning Window,Parents of Gr 2–8,School's out. Don't let Math skills go on vacation too ☀️,"Meta, Google, YouTube",H
Apr,Summer,Summer Vacation,IPL Season (Apr–May),Commercial,Cricket & Math,"Kids Gr 4–8, Parents",Did you know Math powers every perfect over? 🏏 Sharpen yours!,"YouTube, Hotstar, Instagram",H
Apr,Summer,Summer Vacation,SOF IMO / NSO Registration Opens,Olympiad,SOF School Olympiad,Students Gr 2–8,"Olympiad season starts now – register early, prep smart 🏅","Google, Meta",H
Apr 14,,,Tamil New Year (Puthandu),Regional Festival,South,"Fresh start, reflective, hope-filled","New year, new Math chapter – Happy Puthandu! 🌸 Start strong with Cuemath","Meta (Tamil Nadu geo), Instagram",H
Apr 14–15,,,Vishu,Regional Festival,South,Auspicious new beginning; prosperity mindset,Vishu Ashamsakal! May your child's Math journey be as bright as the Vishukkani 🌼,"Meta (Kerala geo), Instagram",H
Apr,Summer,Summer Vacation,Earth Day – Apr 22,Social / Awareness,STEM & Environment,Students Gr 4–8,Math powers climate solutions 🌍 Be the problem-solver Earth needs,"Instagram, YouTube",M
May,Summer,Summer Vacation (Peak),Mother's Day,Commercial,Family & Gifting,Mothers of Gr 2–8 kids,Mom knows best – and she chose Cuemath for her child 💛,"Instagram, Meta, YouTube",H
May,Summer,Summer Vacation (Peak),Summer Course Enrollment Peak,Season,Summer Learning,Parents of Gr 2–8,3 months of Math progress in one summer – the Cuemath way,"Meta, Google, YouTube",H
May,Summer,Summer Vacation (Peak),Annual Results Declared (Gr 1–8),School Rhythm,Results + Next Year Prep,Parents of Gr 1–8,Results are in! Build Math strength before the new class begins,"Meta, Google",H
