canonical,ad_name,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_names,evidence_pain,confidence,notes,notion_source,transcript_used
30-day-math-kangaroo-prep,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-30-Day-Math-Kangaroo-Prep-261225,1121428,39,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,30-Day Math Kangaroo Prep,Book a Free Class,none,Math Kangaroo prep,High,,name-only,no
india-best-math-tutors,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-India-Best-Math-Tutors-180226,724384,7,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,India's Best Math Tutors for NRI Kids,Book a Free Class,none,build clarity accuracy and confidence,High,NRI Contextual Statics variant,nri-contextual-statics,no
updated-testimonial-surveen-15s,Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Video_Updated-Testimonial-Surveen-15s_170925,637727,25,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Surveen testimonial video,Book a Free Class,Surveen,confidence and progress,Low,No notion match; tagged from ad-name structure,none,no
high-school-master-algebra-white- – copy,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_High_School_LeadGen_NA_Static-High-School-Master-Algebra-White-150126 – Copy,619526,18,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Late-Stage-HS,Topic-Algebra",Static-Graphic,English,Master Algebra,Book a Free Class,none,Master Algebra,High,High school algebra static,name-only,no
testimonial-kaasi-22s-telugu,USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Kaasi-22s-Telugu_100825,611121,6,Academic-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Telugu,Kaasi Telugu testimonial,Book a Free Class,Kaasi,grades & school improvement,Low,Telugu vernac testimonial; no transcript,none,no
testimonial-kiran-22s-telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Kiran-22s-Telugu_101125,579564,12,Academic-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Telugu,Kiran Telugu testimonial,Book a Free Class,Kiran,grades & school,Low,excluded-from-deck; Telugu vernac testimonial,none,no
o-strong-foundations_20-oct-2025,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_20-Oct-2025,573239,12,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Math Foundations,Book a Free Class,none,strong foundations,Medium,MEA static; no notion match,none,no
satish-english-testimonial-07-nov-2025,MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Video-Satish-English-Testimonial-07-Nov-2025,567106,27,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Confidence,Foundation",UGC-polished,English,Satish testimonial,Book a Free Class,Satish,grades and confidence improved,Low,UAE testimonial; no transcript,none,no
cuemath-hero-5-21s,MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_LP_Pricing_Creatives_60AED_Signup_NA_Video_Cuemath-Hero-5-21s_111225,562566,39,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero video — generic platform pitch,name-only,no
usa_pfx_fb_leads_conv_lal_0-2%_engaged_priyanshul_ig_video,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,556831,14,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Is your child truly understanding math—or just memorizing steps?,Book a Free Trial Class,Priyanshul is influencer,building strong concepts not rote learning,High,Priyanshul IG influencer ad,influencer-edit-priyanshul-ig,no
high-school-master-algebra-white,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_High_School_NA_Static-High-School-Master-Algebra-White-150126,552788,14,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Late-Stage-HS,Topic-Algebra",Static-Graphic,English,Master Algebra,Book a Free Class,none,Master Algebra,High,,name-only,no
parents-believed-offline-was-better-31-oct-2025,MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Static-Parents-believed-offline-was-better-31-Oct-2025,541359,5,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,Parents believed offline was better,Book a Free Class,none,offline classroom limitations,Medium,Offline-vs-online comparison static,name-only,no
herocut_05,Herocut_05_041225,535938,8,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Hero cut child testimonial,Book a Free Class,none,confidence and engagement,Low,Generic herocut variant,none,no
2026-stands-for-math-confidence,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New-Year_LeadGen_NA_Static-2026-Stands-for-Math-Confidence-221225,497868,23,Enrichment,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",Static-Graphic,English,2026 stands for math confidence,Book a Free Class,none,build math confidence,Medium,New Year themed static,name-only,no
anz_fb_leads_conv_india-expats_australia_static_w-testimonia,ANZ_FB_Leads_Conv_India-Expats_Australia_Static_W-Testimonial-NAPLAN_040226,482258,7,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN testimonial static,Book a Free Class,none,NAPLAN preparation,High,NAPLAN-specific static; treating NAPLAN as Competition-Prep,name-only,no
testimonial-gunjan-13s,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_English-Generic-Content_NA_Video-Testimonial-Gunjan-13s_020126,445803,9,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Confidence,Foundation",UGC-polished,English,Gunjan parent testimonial,Book a Free Class,Gunjan,grades and school improvement,Medium,Gunjan testimonial UGC,name-only,no
priyanshul,USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,432664,4,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Concept Clarity Over Memorization,Book a Free Trial Class,Priyanshul is influencer,building strong concepts not rote learning,High,Priyanshul influencer cut,influencer-edit-priyanshul-ig,no
testimonial_gunjan-20s,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Video_Testimonial_Gunjan-20s_020126,431204,16,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Gunjan parent testimonial 20s,Book a Free Class,Gunjan,parent peace of mind,Medium,Canada Gunjan testimonial,name-only,no
strong-math-indian-tutors,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Static-Strong-math-Indian-tutors-310126,406440,17,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Math with Indian tutors,Book a Free Class,none,Indian tutors and strong math,High,NRI Indian-tutors static,nri-contextual-statics,no
video_shweta_negi,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,392208,9,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Shweta Negi influencer endorsement,Book a Free Class,Shweta Negi influencer,confidence grades foundation,Medium,Influencer Shweta Negi,name-only,no
anz_fb_leads_conv_int4c_australia_video_cuemath-hero-5-21s,ANZ_FB_Leads_Conv_int4C_Australia_Video_Cuemath-Hero-5-21s_020326,388126,9,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero video,name-only,no
usa_pfx_fb_leads_conv_lal_0-2%_engaged_priyanshul,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_131025,387349,5,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Concept Clarity Over Memorization,Book a Free Trial Class,Priyanshul is influencer,strong concepts not rote learning,High,Priyanshul earlier cut,influencer-edit-priyanshul-ig,no
math_kangaroo_static_30-day-prep,Math_Kangaroo_Static_30-Day-Prep_040126,373535,3,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,30-Day Math Kangaroo Prep,Book a Free Class,none,Math Kangaroo prep,High,,name-only,no
master-math-this-winter-white,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Master-Math-this-Winter-White-060226,351921,11,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Master Math This Winter,Book a Free Class,none,strong math foundation,High,NRI seasonal static,nri-contextual-statics,no
english-testimonial-kasi-madi-28-nov-2025,MEA_FB_Leads_Advantage+Non-OTP_form_LeadGen_NA_Video-English-Testimonial-Kasi-Madi-28-Nov-2025,350889,17,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Kasi Madi parent testimonial,Book a Free Class,Kasi Madi,parent peace of mind,Low,UAE Kasi Madi testimonial,none,no
updated-testimonial-amyra-parent-26s,Mea_PFX_FB_Leads-Conv_NA_Int-Female_LeadGen_NA_Video_Updated-Testimonial-Amyra-Parent-26s_070326,348823,9,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Studio,English,Amyra parent testimonial,Book a Free Class,Amyra,parent peace of mind,Low,MEA Studio testimonial,none,no
top-indian-tutors,USA_FB_Leads_Conv_Advantage_Audience_High_NRI_Creatives_Scaling_Signup_Old-LP_NA_Static-Top-Indian-tutors-060226,346569,7,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,Top Indian Tutors,Book a Free Class,none,top 1% Indian tutors clarity confidence,High,NRI Top-Indian-tutors variant,nri-contextual-statics,no
testimonial-shruti-25s,USA_FB_Leads_Conv_Razorpay_LAL_NRI_Audience_35-55_English_Testimonials_LeadGen_NA_Video_Testimonial-Shruti-25s_130426,341851,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Shruti parent testimonial,Book a Free Class,Shruti,parent peace of mind,Low,Shruti UGC testimonial,none,no
postboost_video_priyanshul,USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_170326,331799,8,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Concept Clarity Over Memorization,Book a Free Trial Class,Priyanshul is influencer,strong concepts not rote learning,High,Priyanshul influencer postboost,influencer-edit-priyanshul-ig,no
updated-testimonial-amyra-parent-26s_24-nov-2025,MEA_FB_Leads_Advantage+Non-OTP_form_LeadGen_NA_Video_Updated-Testimonial-Amyra-Parent-26s_24-Nov-2025,324499,7,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Studio,English,Amyra parent testimonial,Book a Free Class,Amyra,parent peace of mind,Low,MEA Studio testimonial,none,no
static_w-ch-strong-foundations,Static_W-Ch-Strong-Foundations_230226,323813,7,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Foundations static,Book a Free Class,none,strong math foundations,Medium,Chinese PLA strong-foundations static,name-only,no
testimonial-lakshami-32s-telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Lakshami-32s-Telugu_050925,319281,14,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,Telugu,Lakshami Telugu testimonial,Book a Free Class,Lakshami,confidence and grades,Low,Telugu vernac testimonial,none,no
anz-uk_fb_leads_conv_int4c_uk_video_testimonial-gunjan-video,ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Testimonial-Gunjan-Video-V2_100226,310723,8,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Gunjan parent testimonial,Book a Free Class,Gunjan,grades and school confidence,Medium,UK Gunjan testimonial,name-only,no
updated-testimonial-jasleen-15s,Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Video_Updated-Testimonial-Jasleen-15s_170925,305836,4,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Jasleen parent testimonial,Book a Free Class,Jasleen,parent peace of mind,Low,MEA Jasleen testimonial,none,no
anz_pfx_fb_leads_conv_int_all-expats_35-55_australia_static_,ANZ_PFX_FB_Leads_Conv_Int_All-Expats_35-55_Australia_Static_W-NAPLAN-Start-Summer_210126,297452,15,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN Start Summer Prep,Book a Free Class,none,NAPLAN preparation,High,NAPLAN-themed static,name-only,no
anz-nz_fb_leads_conv_lal-payu_new-zealand_video_testimonial-,ANZ-NZ_FB_Leads_Conv_LAL-PayU_New-Zealand_Video_Testimonial-Gunjan-Video-V2_310126,292651,10,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Gunjan parent testimonial,Book a Free Class,Gunjan,confidence and grades,Medium,NZ Gunjan testimonial,name-only,no
usa_fb_leads_conv_int_parents_influencer_postboost_35-55_sho,USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,281217,14,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Shweta Negi influencer endorsement,Book a Free Class,Shweta Negi influencer,grades and confidence,Medium,Shweta Negi influencer postboost,name-only,no
o-strong-foundations_v2,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_V2-121225,275051,13,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Math Foundations V2,Book a Free Class,none,strong foundations,Medium,MEA static V2,none,no
anz-uk_fb_leads_conv_payu_uk_video_testimonial2-shalini,ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial2-Shalini_190226,270371,6,Child-diagnosis,Top-Tutors,Free-Class,Named-child,Confidence,UGC-polished,English,Is your child struggling to stay focused in math class?,Book a Free Class,Shalini,feel more confident over time,High,Shalini Dropati v2 cut,english-testimonial-shalini-dropati,no
webinar3-07-nov-2025,MEA_AKT_FB_Leads_Conv_Cities_Int_Premium_Brands-New-Creatives-35-55_LeadGen_NA_Video-Webinar3-07-Nov-2025,265519,8,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Studio,English,Cuemath webinar — math thinking,Book a Free Class,none,critical thinking and clarity,Low,Webinar format MEA video,none,no
balamaina_math_foundation,USA_AKT_FB_Leads_Conv_Advantage_Audience-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_NA_Static_Balamaina_Math_Foundation_150126,257222,3,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Telugu,Balamaina (strong) math foundation,Book a Free Class,none,strong math foundations Telugu,Medium,Telugu vernac static,name-only,no
video_keerthi,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_230126,253214,10,System-diagnosis,1-1-Personalization,Free-Class,Named-both,"Personalization-Gap,Competition-Prep",UGC-polished,English,Worried your child isn't getting enough attention in large online math classes?,Book a Free Trial Class,Nisha Shah... Sunil,with preparation for competitions like AMC 8 and Math Kangaroo,High,Keerthi/Keerthana influencer,perf-telegu-influencer-keerthi-us,yes
video_testimonial_gunjan-13s,Video_Testimonial_Gunjan-13s_260126,244411,14,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,Hindi,Gunjan parent testimonial,Book a Free Class,Gunjan,parent peace of mind,Medium,Hindi Gunjan testimonial,name-only,no
ib-myp1,MEA_AKT_FB_Leads_Conv_UAE_HNIs_Targeting_LP_Pricing_Creatives_60AED_Signup_NA_Static-IB-MYP1_260126,244062,4,Academic-Outcome,Top-Tutors,Offer-led,Anonymous,Foundation,Static-Graphic,English,IB MYP1 curriculum,60 AED Signup,none,IB curriculum support,Medium,UAE IB pricing static,name-only,no
y-girl-mathfit,Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Static_Y-Girl-MathFit_240925,241594,8,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Make Your Child MathFit,Book a Free Class,none,MathFit thinking,High,MathFit static,name-only,no
high-school-testimonial-madhavi,USA_FB_Leads_Conv_Razorpay_LAL_35_60_Signup_PLA_LP_High_School_NA_Video_High-School-Testimonial-Madhavi_150426,240858,3,Academic-Outcome,Top-Tutors,Free-Class,Named-child,"Late-Stage-HS,Topic-Calculus",UGC-polished,English,teens build strong foundations fill learning gaps and master even challenging topics like calculus and trigonometry,Book a Free Class,Varun's confidence has also increased a lot,master even challenging topics like calculus and trigonometry,High,Madhavi high school testimonial (no Christmas badge),high-school-testimonial-madhavi-with-w-o-xmas-badge,yes
video_priyanshul-ig-video,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul-IG-video_280126,236527,9,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Is your child truly understanding math—or just memorizing steps?,Book a Free Trial Class,Priyanshul is influencer,strong concepts not rote learning,High,,influencer-edit-priyanshul-ig,no
build skills-v2,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-Build Skills-V2-111225,228113,5,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Build Math Kangaroo skills,Book a Free Class,none,Math Kangaroo skill building,High,,name-only,no
anz_fb_leads_conv_lal-ql-0to2%_australia_static_w-naplan-202,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-NAPLAN-2026-Ready_030226,227400,7,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN 2026 Ready,Book a Free Class,none,NAPLAN preparation,High,,name-only,no
anz_fb_leads_conv_bollywood_australia_video_testimonial-laks,ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Testimonial-Lakshmi_170226,221244,7,Enrichment,Top-Tutors,Free-Class,Named-parent,Foundation,UGC-polished,English,we want math and science to be our strong suits,Book a Free Class,Lakshmi,Trigonometry is something she said she needs to spend a bit more time with,High,Lakshmi (Norway parent) testimonial,none,yes
testimonial-sameer-23s,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_LeadGen_NA_Video_Testimonial-Sameer-23s_020126,220519,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Sameer parent testimonial,Book a Free Class,Sameer,parent peace of mind,Low,Sameer NRI testimonial,none,no
english_testimonial_rishva_patel,USA_FB_Leads_Conv_Razorpay_LAL_NRI_Audience_35-55_English_Testimonials_LeadGen_NA_Video_English_Testimonial_Rishva_Patel_200426,219834,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Rishva Patel parent testimonial,Book a Free Class,Rishva Patel,parent peace of mind,Low,Rishva Patel testimonial,name-only,no
christmas-high-school-testimonial-madhavi-christmas-badge,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Christmas_LeadGen_NA_Video-Christmas-High-School-Testimonial-Madhavi-Christmas-Badge-121225,212910,16,Academic-Outcome,Top-Tutors,Offer-led,Named-child,"Late-Stage-HS,Topic-Calculus",UGC-polished,English,teens build strong foundations fill learning gaps and master even challenging topics like calculus and trigonometry,Christmas Special: FREE SAT Prep Worth $499,Varun's confidence has also increased a lot,calculus and trigonometry,High,,high-school-testimonial-madhavi-with-w-o-xmas-badge,yes
high-school-sat-prep-manan-sir-video,USA_FB_Leads_Conv_LAL_Enrolled_35-55_High_School_LeadGen_NA_High-School-SAT-Prep-Manan-Sir-Video-130126,204275,9,Academic-Outcome,Top-Tutors,Offer-led,Named-tutor,Late-Stage-HS,Studio,English,Is your child ready to handle the jump from high school maths to SAT-level problem solving?,Get SAT Prep worth $499 absolutely free,Manan Sir,strengthen core high school concepts speed strategy confidence for SAT,High,,high-school-sat-prep,no
