label,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_names,evidence_pain,confidence,notes
Mohit Kukreja,Enrichment,1-1-Personalization,Recommendation,Named-child,Engagement,UGC-polished,English,We were looking for more of mathematics tutoring where they have more of creative thinking,I will 100% recommend Cuemath,Now Agam is very keen to do his homework,"He loves that challenge, so yeah, I am very happy",High,"Hook is enrichment; behavioral proof in body (Agam keen, loves challenge) supports Engagement pain."
Lakshmi K-2,Enrichment,Top-Tutors,Free-Class,Anonymous,"Foundation, Topic-Number-Sense",UGC-polished,English,"She was okay, not behind, but we want math and science to be our strong suits",Book a Free Class,none,"young learners build number sense, critical thinking, and fine motor skills",High,PC explicitly names number-sense — added topic tag.
Shalini Dropati (US/NRI),Child-diagnosis,Top-Tutors,Free-Class,Anonymous,Confidence,UGC-polished,English,Is your child struggling to stay focused in math class?,Book a Free Class,none,feel more confident over time,Medium,No transcript for Shalini Dropati available; tagged from PC only.
Likita Grade 2,Enrichment,Top-Tutors,Free-Class,Named-child,Competition-Prep,UGC-polished,English,Is school math enough if your child is ready for more?,Book a Free Trial Class,give a better math curricular structure for Swara,preparing for competitive math like Math Kangaroo,High,Transcript: 'wanted her to enroll in competitive maths like Math Kangaroo. The ongoing class curriculum is not sufficient.'
AI Video High School,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity, Topic-Algebra",AI-Generated,English,Does your high schooler solve familiar Algebra problems—but freeze when the numbers change?,Book a Free Trial Class,none,"When kids understand the why behind Algebra 1 and Algebra 2, every variation starts making sense",High,PC explicitly names Algebra 1 and Algebra 2 — topic tag added. MathFit close: 'We make kids MathFit'.
AI Video Math Kangaroo,Competition,Memorization-vs-Understanding,Free-Class,Anonymous,Competition-Prep,AI-Generated,English,Is your child preparing for Math Kangaroo?,Book a Free Class,none,Math Kangaroo rewards thinkers—not memorizers,High,
AI Video Arya,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,AI-Generated,English,Does your child do worksheet after worksheet—and still feel confused?,Book a Free Class,none,"kids stop guessing, start understanding",High,"creative_tags has talent_name='Arya' but Arya is an AI character, not a real talent."
AI Video MathFit,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,AI-Generated,English,AI is changing everything—but the real edge is clear thinking,Book a Free 1:1 Trial Class,none,"critical thinking, logical reasoning, and speed with accuracy",High,Explicit MathFit headline + close.
Madhavi HS Christmas,Academic-Outcome,Top-Tutors,Offer-led,Named-child,"Late-Stage-HS, Topic-Calculus",UGC-polished,English,"teens build strong foundations, fill learning gaps, and master even challenging topics like calculus and trigonometry",Christmas Special: FREE SAT Prep Worth $499,Varun's confidence has also increased a lot,master even challenging topics like calculus and trigonometry,High,Hook flipped from generic Outcome → Academic-Outcome (calculus/trig). Topic-Calculus added. Transcript also has Recommendation close — but Offer is the dominant on-image close.
Manan Sir SAT Prep,Academic-Outcome,Top-Tutors,Offer-led,Named-tutor,Late-Stage-HS,UGC-polished,English,Is your child ready to handle the jump from high school maths to SAT-level problem solving?,Get SAT Prep worth $499 absolutely free,Manan Sir is the named tutor in ad name and visual,"strengthen core high school concepts while building the speed, strategy, and confidence needed for the SAT",Medium,Hook flipped to Academic-Outcome. PC stays generic 'high school concepts' — no specific topic tag.
Strong Foundation Asian,Enrichment,Top-Tutors,Trust-Badge,Anonymous,Confidence,Static-Graphic,English,High-performing students don't leave math to chance,"With a 4.9 rating on Trustpilot and trusted by 200,000+ families",none,consistent progress and real confidence,High,Visual text dominated by Trust-Badge framing. Workhorse Chinese-targeted static (43 TDs).
NRI Contextual Statics (Top Indian Tutors),Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,Trusted Indian Math Tutors for K-12 NRI Kids,Book a Free Class,none,"build clarity, accuracy, and confidence — so they move ahead of the classroom pace",High,Indian flag emoji + 'Top Indian tutors' across all 8 variants. Visual text outranks PC for hook tag.
Holi Color Their Future,Cultural,Cultural-Relatability,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Color Their Future with Strong Math Skills,Book a Free Class,none,deep conceptual understanding—helping children build strong math skills that support long-term academic success,High,No-offer variant; festival-led seasonal context.
Priyanshul IG (US/NRI),System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Is your child truly understanding math—or just memorizing steps?,Book a Free Trial Class,"Priyanshul is the influencer (in ad name + visual), not named in PC","building strong concepts, not rote learning",High,Headline: 'Concept Clarity Over Memorization'. Influencer is anonymous in PC text.
Keerthi Telugu Influencer,System-diagnosis,1-1-Personalization,Free-Class,Named-both,"Personalization-Gap, Competition-Prep",UGC-polished,English,Worried your child isn't getting enough attention in large online math classes?,Book a Free Trial Class,"His Cuemath teacher's name is Nisha Shah... He represented his school, Chennai city",with preparation for competitions like AMC 8 and Math Kangaroo,High,Transcript names tutor (Nisha Shah) AND child (Sunil). PC mentions AMC 8 + Math Kangaroo — added Competition-Prep secondary pain. Spoken video may include Telugu segments.
